,Year,Quarter,LGA,Total TB Cases,Date,PTB Cases,EPTB Cases,Cluster,Distance,Year_Quarter
342,2022,3,LERE,43.0,2022-07-01,43,0,1,0.0142879234,2022 Q3
343,2022,4,LERE,64.0,2022-10-01,64,0,1,0.025449338,2022 Q4
344,2022,1,MAKARFI,75.0,2022-01-01,75,0,1,0.0624712466,2022 Q1
345,2022,2,MAKARFI,83.0,2022-04-01,83,0,1,0.1028583986,2022 Q2
346,2022,3,MAKARFI,141.0,2022-07-01,141,0,1,0.7346983042,2022 Q3
347,2022,4,MAKARFI,152.0,2022-10-01,152,0,1,0.9217520815,2022 Q4
348,2022,1,SABON GARI,163.0,2022-01-01,163,0,1,1.1302389829,2022 Q1
349,2022,2,SABON GARI,204.0,2022-04-01,204,0,3,1.1609579621,2022 Q2
350,2022,3,SABON GARI,342.0,2022-07-01,342,0,3,0.1476232965,2022 Q3
351,2022,4,SABON GARI,348.0,2022-10-01,348,0,3,0.1800868346,2022 Q4
352,2022,1,SANGA,34.0,2022-01-01,34,0,1,0.0334174496,2022 Q1
353,2022,2,SANGA,36.0,2022-04-01,36,0,1,0.027926511,2022 Q2
354,2022,3,SANGA,24.0,2022-07-01,24,0,1,0.0715001382,2022 Q3
355,2022,4,SANGA,42.0,2022-10-01,42,0,1,0.0157048932,2022 Q4
356,2022,1,SOBA,48.0,2022-01-01,47,1,1,0.0143070258,2022 Q1
357,2022,2,SOBA,48.0,2022-04-01,47,1,1,0.0143070258,2022 Q2
358,2022,3,SOBA,73.0,2022-07-01,73,0,1,0.0541457912,2022 Q3
359,2022,4,SOBA,118.0,2022-10-01,118,0,1,0.4128449643,2022 Q4
360,2022,1,ZANGON KATAF,79.0,2022-01-01,79,0,1,0.0812477565,2022 Q1
361,2022,2,ZANGON KATAF,79.0,2022-04-01,79,0,1,0.0812477565,2022 Q2
362,2022,3,ZANGON KATAF,130.0,2022-07-01,129,1,1,0.5661875701,2022 Q3
363,2022,4,ZANGON KATAF,153.0,2022-10-01,153,0,1,0.9398197699,2022 Q4
364,2022,1,ZARIA,482.0,2022-01-01,467,15,4,6.3660766019,2022 Q1
365,2022,2,ZARIA,628.0,2022-04-01,628,0,2,1.0252039977,2022 Q2
366,2022,3,ZARIA,734.0,2022-07-01,734,0,2,1.5253826972,2022 Q3
367,2022,4,ZARIA,836.0,2022-10-01,836,0,2,3.8857163199,2022 Q4
