Source Table,LGA,Year-Quarter,PTB Total Actual and Forecast,PTB Total Actual and Forecast  Lower  95%,PTB Total Actual and Forecast  Upper  95%,EPTB Total Actual and Forecast,EPTB Total Actual and Forecast  Lower  95%,EPTB Total Actual and Forecast  Upper  95%,lab diagnosed Actual and Forecast,lab diagnosed Actual and Forecast  Lower  95%,lab diagnosed Actual and Forecast  Upper  95%,clinically diagnosed Actual and Forecast,clinically diagnosed Actual and Forecast  Lower  95%,clinically diagnosed Actual and Forecast  Upper  95%,Total TB Cases notified Actual and Forecast,Total TB Cases notified Actual and Forecast  Lower  95%,Total TB Cases notified Actual and Forecast  Upper  95%
Original Data,Sanga,2019Q3,40,,,0,,,32,,,8,,,40,,
Original Data,Sanga,2019Q4,29,,,0,,,23,,,6,,,29,,
Original Data,Soba,2019Q1,12,,,0,,,11,,,1,,,12,,
Original Data,Soba,2019Q2,9,,,0,,,6,,,3,,,9,,
Original Data,Soba,2019Q3,17,,,0,,,14,,,3,,,17,,
Original Data,Soba,2019Q4,17,,,0,,,13,,,4,,,17,,
Original Data,Zangon Kataf,2019Q1,22,,,1,,,20,,,3,,,23,,
Original Data,Zangon Kataf,2019Q2,34,,,0,,,14,,,20,,,34,,
Original Data,Zangon Kataf,2019Q3,22,,,5,,,14,,,13,,,27,,
Original Data,Zangon Kataf,2019Q4,25,,,0,,,16,,,9,,,25,,
Original Data,Zaria,2019Q1,74,,,19,,,60,,,33,,,93,,
Original Data,Zaria,2019Q2,91,,,10,,,78,,,23,,,101,,
Original Data,Zaria,2019Q3,101,,,17,,,87,,,31,,,118,,
Original Data,Zaria,2019Q4,103,,,23,,,93,,,33,,,126,,
Original Data,Birnin Gwari,2020Q1,13,,,0,,,13,,,0,,,13,,
Original Data,Birnin Gwari,2020Q2,14,,,0,,,14,,,0,,,14,,
Original Data,Birnin Gwari,2020Q3,23,,,0,,,19,,,4,,,23,,
Original Data,Birnin Gwari,2020Q4,46,,,0,,,45,,,1,,,46,,
Original Data,Chikun,2020Q1,81,,,0,,,57,,,24,,,81,,
Original Data,Chikun,2020Q2,61,,,1,,,46,,,16,,,62,,
Original Data,Chikun,2020Q3,67,,,1,,,54,,,14,,,68,,
Original Data,Chikun,2020Q4,66,,,0,,,54,,,12,,,66,,
Original Data,Giwa,2020Q1,60,,,6,,,21,,,45,,,66,,
Original Data,Giwa,2020Q2,27,,,6,,,4,,,29,,,33,,
Original Data,Giwa,2020Q3,39,,,14,,,19,,,34,,,53,,
Original Data,Giwa,2020Q4,44,,,14,,,30,,,28,,,58,,
Original Data,Igabi,2020Q1,60,,,0,,,58,,,2,,,60,,
Original Data,Igabi,2020Q2,41,,,2,,,39,,,4,,,43,,
Original Data,Igabi,2020Q3,70,,,0,,,62,,,8,,,70,,
Original Data,Igabi,2020Q4,99,,,0,,,91,,,8,,,99,,
Original Data,Ikara,2020Q1,16,,,1,,,15,,,2,,,17,,
Original Data,Ikara,2020Q2,19,,,0,,,18,,,1,,,19,,
Original Data,Ikara,2020Q3,14,,,0,,,10,,,4,,,14,,
Original Data,Ikara,2020Q4,31,,,0,,,28,,,3,,,31,,
Original Data,Jaba,2020Q1,15,,,0,,,6,,,9,,,15,,
Original Data,Jaba,2020Q2,13,,,0,,,6,,,7,,,13,,
Original Data,Jaba,2020Q3,10,,,0,,,3,,,7,,,10,,
Original Data,Jaba,2020Q4,13,,,0,,,7,,,6,,,13,,
Original Data,Jema'A,2020Q1,45,,,1,,,40,,,6,,,46,,
