,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total examined with Xpert,Total examined with AFB,Total examined with TB LAMP/LF-LAM,Screened with X-ray,MTB detected,Smear positive,TB LAMP/LF LAM,Chest X-ray suggestive,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Referred from the community,Referred from the PPM
48,2021,1,KAURA,352,348,4,352,273,72,0,7,22,12,0,6,40,0,14,186,152,0,68,6
49,2021,2,KAURA,334,328,6,334,246,86,0,2,10,12,0,2,24,0,1,263,70,0,43,8
50,2021,3,KAURA,370,365,5,370,290,78,0,2,10,2,0,0,12,0,22,257,91,0,10,8
51,2021,4,KAURA,561,554,7,561,475,77,0,9,16,4,0,5,25,0,19,412,130,0,20,1
52,2021,1,KAURU,1609,1260,349,1609,3,109,0,1,3,109,0,1,113,0,0,1609,0,0,851,0
53,2021,2,KAURU,3626,2993,633,3626,50,117,0,0,49,118,0,0,167,0,0,3626,0,0,1290,0
54,2021,3,KAURU,4495,3297,1198,4495,61,138,0,0,61,138,0,0,199,0,0,4495,0,0,1809,0
55,2021,4,KAURU,4754,4133,621,4754,1274,2978,0,0,66,219,0,0,285,0,0,4754,0,0,2190,251
56,2021,1,KUBAU,366,360,6,366,366,0,0,0,36,0,0,3,39,0,3,363,0,0,89,31
57,2021,2,KUBAU,616,586,30,616,611,3,0,2,41,0,0,2,43,0,0,616,0,0,270,21
58,2021,3,KUBAU,603,586,17,603,596,7,0,1,34,7,0,1,42,0,1,602,0,0,317,4
59,2021,4,KUBAU,704,689,15,704,698,6,0,0,54,6,0,2,62,0,1,703,0,0,377,2
60,2021,1,KUDAN,579,549,30,579,579,70,0,22,17,0,0,4,21,0,1,169,409,0,14,43
61,2021,2,KUDAN,725,713,12,725,703,10,0,56,19,0,0,4,23,0,0,335,390,20,41,72
62,2021,3,KUDAN,879,855,24,879,866,78,0,47,23,5,0,4,32,0,16,405,458,0,90,0
