Year,Quarter,LGA,Total number of presumptives,PresumptiveDS-TB,PresumptiveDR-TB,Examined for diagnosis,Total Examined with Xpert,Total Examined with Truenat,Total Examined with AFB,Total Examined with TB LAMP,Total Examined with LF-LAM and others,Screened with X-ray,MTB Detected,Truenat Positive,Smear Positive,TB Lamp Positive,LF LAM Positive,Chest X-ray Suggestive,Other Clinical Dianosis,Total Diagnosed,Rifampicin Resistant,HIV Positive,HIV Negative,HIV Unknown,No. of Presumptives that are HCWs,Referred from the community,Referred from the PPM,No of Presumptive that are tested for COVID-19,No of Presumptive that are Positive for COVID-19
2023,3,Kagarko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Kagarko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Kajuru,4818,4818,0,4818,2894,0,1882,0,0,42,133,0,124,0,0,13,0,270,0,4,4814,0,0,1295,199,0,0
2023,2,Kajuru,5563,5563,0,5563,3512,0,2023,0,0,28,138,0,120,0,0,13,3,274,0,11,5552,0,0,1749,428,0,0
2023,3,Kajuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Kajuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Kaura,941,899,42,941,488,0,310,0,0,143,32,0,40,0,0,16,2,90,0,46,810,85,0,680,32,50,0
2023,2,Kaura,1120,1100,20,1120,639,0,300,0,0,181,63,0,30,0,0,19,0,112,0,26,889,205,0,830,41,0,0
2023,3,Kaura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Kaura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Kauru,7134,7134,0,6960,2485,0,2780,0,0,1695,176,0,225,0,0,224,0,625,0,0,7134,0,0,6123,40,0,0
2023,2,Kauru,6443,6443,0,5600,2621,0,1845,0,0,1134,187,0,229,0,0,144,0,560,0,10,6433,0,0,4810,420,0,0
2023,3,Kauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Kauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Kubao,1175,1170,5,1170,1144,0,16,0,0,10,82,0,18,0,0,10,0,110,0,6,0,1169,0,432,18,0,0
2023,2,Kubao,1049,1037,12,1049,1017,0,18,0,0,14,118,0,27,0,0,13,0,158,0,0,1049,0,0,56,289,0,0
2023,3,Kubao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
