Year,Quarter,LGA,Sex,0-4,5-14,15–24,25–34,35–44,45–54,55–64,> 65,Total
2023,4,Zangon kataf,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Zangon kataf,0,0,0,0,0.0,0.0,0,0,0,0
2023,1,Zaria,Male,5,16,56,108.0,134.0,99,40,6,464
2023,1,Zaria,Female,7,12,34,98.0,67.0,43,38,4,303
2023,2,Zaria,Male,22,16,201,99.0,34.0,23,21,20,436
2023,2,Zaria,Female,11,17,120,88.0,29.0,60,24,20,369
2023,3,Zaria,0,0,0,0,0.0,0.0,0,0,0,0
2023,3,Zaria,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Zaria,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Zaria,0,0,0,0,0.0,0.0,0,0,0,0
