Unnamed: 0,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total
0,2021,1,BIRIN GWARI,Male,0.0,2,1,0,4,5,2.0,5.0,19
1,2021,1,BIRIN GWARI,Female,0.0,0,1,3,2,0,0.0,4.0,10
2,2021,2,BIRIN GWARI,Male,0.0,1,6,3,7,12,12.0,9.0,50
3,2021,2,BIRIN GWARI,Female,0.0,0,2,6,4,4,5.0,4.0,25
4,2021,3,BIRIN GWARI,Male,0.0,0,1,5,6,7,1.0,14.0,34
5,2021,3,BIRIN GWARI,Female,0.0,0,2,2,3,3,0.0,6.0,16
6,2021,4,BIRIN GWARI,Male,0.0,0,2,5,12,12,11.0,17.0,59
7,2021,4,BIRIN GWARI,Female,0.0,0,7,3,9,9,9.0,9.0,46
8,2021,1,CHIKUN,Male,0.0,0,8,13,25,10,5.0,1.0,62
9,2021,1,CHIKUN,Female,0.0,0,8,6,6,4,5.0,4.0,33
10,2021,2,CHIKUN,Male,0.0,1,11,24,29,21,8.0,2.0,96
11,2021,2,CHIKUN,Female,0.0,0,5,7,6,5,3.0,1.0,27
12,2021,3,CHIKUN,Male,0.0,2,16,20,39,23,5.0,6.0,111
13,2021,3,CHIKUN,Female,0.0,0,8,11,11,5,1.0,0.0,36
14,2021,4,CHIKUN,Male,0.0,2,34,70,72,36,7.0,4.0,225
15,2021,4,CHIKUN,Female,0.0,0,33,46,26,7,2.0,0.0,114
16,2021,1,GIWA,Male,9.0,6,3,10,7,3,4.0,2.0,44
17,2021,1,GIWA,Female,6.0,6,2,2,5,4,1.0,1.0,27
18,2021,2,GIWA,Male,11.0,8,3,11,10,16,15.0,5.0,79
19,2021,2,GIWA,Female,6.0,5,6,14,9,10,3.0,4.0,57
20,2021,3,GIWA,Male,7.0,4,13,39,30,15,11.0,6.0,125
21,2021,3,GIWA,Female,3.0,6,17,39,19,11,9.0,4.0,108
22,2021,4,GIWA,Male,8.0,4,73,113,37,15,5.0,4.0,259
23,2021,4,GIWA,Female,2.0,5,96,110,21,13,4.0,2.0,253
24,2021,1,IGABI,Male,0.0,0,11,29,12,10,2.0,3.0,67
25,2021,1,IGABI,Female,0.0,1,11,12,5,3,0.0,1.0,33
26,2021,2,IGABI,Male,2.0,1,8,26,6,8,1.0,3.0,55
27,2021,2,IGABI,Female,2.0,2,13,7,6,3,0.0,1.0,34
28,2021,3,IGABI,Male,1.0,4,12,19,11,9,2.0,5.0,63
29,2021,3,IGABI,Female,2.0,5,11,17,5,1,4.0,1.0,46
30,2021,4,IGABI,Male,3.0,0,34,47,21,14,9.0,2.0,130
31,2021,4,IGABI,Female,1.0,2,11,24,13,6,4.0,0.0,61
32,2021,1,IKARA,Male,0.0,0,2,6,1,0,1.0,0.0,10
33,2021,1,IKARA,Female,0.0,0,2,2,1,1,2.0,1.0,9
34,2021,2,IKARA,Male,0.0,2,2,5,0,5,1.0,0.0,15
35,2021,2,IKARA,Female,0.0,3,1,3,3,1,0.0,0.0,11
36,2021,3,IKARA,Male,0.0,0,3,5,5,4,1.0,2.0,20
37,2021,3,IKARA,Female,0.0,2,2,3,0,1,1.0,0.0,9
38,2021,4,IKARA,Male,3.0,1,2,5,4,3,1.0,1.0,20
39,2021,4,IKARA,Female,4.0,1,1,5,2,1,0.0,2.0,16
40,2021,1,JABA,Male,0.0,1,0,5,6,3,4.0,1.0,20
41,2021,1,JABA,Female,0.0,0,0,0,2,0,0.0,1.0,3
42,2021,2,JABA,Male,0.0,0,2,1,11,5,1.0,1.0,21
43,2021,2,JABA,Female,0.0,0,1,0,2,0,0.0,0.0,3
44,2021,3,JABA,Male,0.0,0,0,3,10,4,0.0,3.0,20
45,2021,3,JABA,Female,0.0,0,1,2,1,0,0.0,1.0,5
46,2021,4,JABA,Male,0.0,0,2,1,3,5,3.0,1.0,15
47,2021,4,JABA,Female,0.0,0,0,0,1,2,0.0,0.0,3
48,2021,1,JEMAA,Male,0.0,0,2,6,17,12,7.0,0.0,44
49,2021,1,JEMAA,Female,0.0,1,1,3,3,5,4.0,0.0,17
50,2021,2,JEMAA,Male,0.0,0,7,10,9,18,9.0,4.0,57
51,2021,2,JEMAA,Female,0.0,0,4,9,9,11,0.0,0.0,33
52,2021,3,JEMAA,Male,0.0,0,4,19,22,17,6.0,6.0,74
53,2021,3,JEMAA,Female,0.0,0,5,17,12,7,3.0,1.0,45
54,2021,4,JEMAA,Male,0.0,0,7,18,27,11,13.0,2.0,78
55,2021,4,JEMAA,Female,0.0,0,11,18,10,4,9.0,2.0,54
56,2021,1,KACHIA,Male,0.0,0,3,16,24,34,13.0,5.0,95
57,2021,1,KACHIA,Female,0.0,0,4,14,30,16,14.0,3.0,81
58,2021,2,KACHIA,Male,0.0,0,8,22,34,36,26.0,17.0,143
59,2021,2,KACHIA,Female,0.0,0,4,24,29,24,24.0,11.0,116
60,2021,3,KACHIA,Male,0.0,1,1,21,32,38,28.0,6.0,127
61,2021,3,KACHIA,Female,0.0,1,8,25,21,19,8.0,4.0,86
62,2021,4,KACHIA,Male,0.0,0,13,28,41,35,43.0,35.0,195
63,2021,4,KACHIA,Female,0.0,0,1,29,22,9,16.0,12.0,89
64,2021,1,KADUNA NORTH,Male,6.0,5,40,58,59,11,9.0,13.0,201
65,2021,1,KADUNA NORTH,Female,5.0,7,39,50,32,14,9.0,2.0,158
66,2021,2,KADUNA NORTH,Male,4.0,8,47,62,47,15,12.0,9.0,204
67,2021,2,KADUNA NORTH,Female,1.0,6,45,61,37,9,7.0,3.0,169
68,2021,3,KADUNA NORTH,Male,4.0,8,50,80,49,17,9.0,7.0,224
69,2021,3,KADUNA NORTH,Female,3.0,9,62,48,27,18,8.0,5.0,180
70,2021,4,KADUNA NORTH,Male,3.0,6,16,71,86,57,16.0,9.0,264
71,2021,4,KADUNA NORTH,Female,2.0,4,24,58,72,47,14.0,3.0,224
72,2021,1,KADUNA SOUTH,Male,6.0,9,34,53,49,15,10.0,12.0,188
73,2021,1,KADUNA SOUTH,Female,1.0,7,30,25,20,7,5.0,9.0,104
74,2021,2,KADUNA SOUTH,Male,3.0,8,28,43,42,20,7.0,7.0,158
75,2021,2,KADUNA SOUTH,Female,3.0,1,26,15,18,12,6.0,10.0,91
76,2021,3,KADUNA SOUTH,Male,3.0,3,30,47,44,20,14.0,11.0,172
