Unnamed: 0,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total
77,2021,3,KADUNA SOUTH,Female,1.0,3,24,18,17,9,2.0,7.0,81
78,2021,4,KADUNA SOUTH,Male,1.0,8,37,40,44,33,12.0,12.0,187
79,2021,4,KADUNA SOUTH,Female,1.0,4,32,25,17,9,5.0,5.0,98
80,2021,1,KAGARKO,Male,0.0,1,0,3,1,1,0.0,0.0,6
81,2021,1,KAGARKO,Female,0.0,2,2,3,0,2,2.0,3.0,14
82,2021,2,KAGARKO,Male,0.0,1,0,2,3,1,0.0,1.0,8
83,2021,2,KAGARKO,Female,0.0,0,1,4,4,1,0.0,0.0,10
84,2021,3,KAGARKO,Male,0.0,0,5,5,10,4,3.0,1.0,28
85,2021,3,KAGARKO,Female,0.0,1,1,2,0,0,0.0,0.0,4
86,2021,4,KAGARKO,Male,0.0,0,1,3,4,1,0.0,0.0,9
87,2021,4,KAGARKO,Female,0.0,0,5,4,0,2,0.0,0.0,11
88,2021,1,KAJURU,Male,0.0,1,1,6,8,3,1.0,1.0,21
89,2021,1,KAJURU,Female,0.0,0,3,3,4,3,0.0,0.0,13
90,2021,2,KAJURU,Male,0.0,0,8,10,11,7,7.0,1.0,44
91,2021,2,KAJURU,Female,0.0,1,8,25,9,1,2.0,0.0,46
92,2021,3,KAJURU,Male,0.0,0,4,21,18,12,4.0,1.0,60
93,2021,3,KAJURU,Female,0.0,0,4,24,11,3,3.0,0.0,45
94,2021,4,KAJURU,Male,0.0,0,25,33,18,12,2.0,1.0,91
95,2021,4,KAJURU,Female,0.0,0,15,11,8,8,3.0,0.0,45
96,2021,1,KAURA,Male,0.0,0,1,3,11,6,3.0,4.0,28
97,2021,1,KAURA,Female,0.0,0,1,0,3,4,1.0,3.0,12
98,2021,2,KAURA,Male,0.0,0,3,2,6,2,2.0,2.0,17
99,2021,2,KAURA,Female,0.0,0,0,1,0,2,2.0,2.0,7
100,2021,3,KAURA,Male,0.0,0,0,1,5,3,0.0,0.0,9
101,2021,3,KAURA,Female,0.0,0,0,1,1,1,0.0,0.0,3
102,2021,4,KAURA,Male,0.0,0,1,3,8,4,2.0,2.0,20
103,2021,4,KAURA,Female,0.0,0,0,1,2,1,1.0,0.0,5
104,2021,1,KAURU,Male,1.0,0,0,43,46,0,1.0,1.0,92
105,2021,1,KAURU,Female,0.0,0,0,9,12,0,0.0,0.0,21
106,2021,2,KAURU,Male,0.0,0,0,56,30,25,6.0,0.0,117
107,2021,2,KAURU,Female,0.0,0,0,15,15,10,10.0,0.0,50
108,2021,3,KAURU,Male,0.0,1,15,32,36,16,13.0,18.0,131
109,2021,3,KAURU,Female,0.0,0,10,15,25,13,1.0,4.0,68
110,2021,4,KAURU,Male,3.0,0,20,35,40,45,27.0,0.0,170
111,2021,4,KAURU,Female,0.0,0,10,27,20,25,33.0,0.0,115
112,2021,1,KUBAU,Male,0.0,0,3,7,8,6,2.0,1.0,27
113,2021,1,KUBAU,Female,0.0,0,2,4,3,2,0.0,1.0,12
114,2021,2,KUBAU,Male,0.0,0,2,9,9,4,1.0,0.0,25
115,2021,2,KUBAU,Female,0.0,1,3,8,1,3,2.0,0.0,18
116,2021,3,KUBAU,Male,0.0,0,6,5,4,2,7.0,0.0,24
117,2021,3,KUBAU,Female,0.0,1,2,5,6,2,2.0,0.0,18
118,2021,4,KUBAU,Male,0.0,1,2,11,10,10,2.0,4.0,40
119,2021,4,KUBAU,Female,0.0,2,1,1,3,8,6.0,1.0,22
120,2021,1,KUDAN,Male,0.0,0,5,3,3,1,2.0,0.0,14
121,2021,1,KUDAN,Female,0.0,0,1,2,2,2,0.0,0.0,7
122,2021,2,KUDAN,Male,0.0,0,3,2,2,3,2.0,0.0,12
123,2021,2,KUDAN,Female,0.0,1,0,3,4,3,0.0,0.0,11
124,2021,3,KUDAN,Male,0.0,0,6,2,3,5,4.0,0.0,20
125,2021,3,KUDAN,Female,0.0,0,0,5,4,3,0.0,0.0,12
126,2021,4,KUDAN,Male,1.0,0,2,10,4,5,1.0,0.0,23
127,2021,4,KUDAN,Female,0.0,1,2,3,3,4,0.0,0.0,13
128,2021,1,LERE,Male,0.0,0,4,9,10,7,3.0,3.0,36
129,2021,1,LERE,Female,0.0,0,1,5,6,1,0.0,0.0,13
130,2021,2,LERE,Male,0.0,1,5,10,7,10,2.0,2.0,37
131,2021,2,LERE,Female,0.0,1,3,3,4,3,3.0,3.0,20
132,2021,3,LERE,Male,0.0,2,3,9,3,8,2.0,1.0,28
133,2021,3,LERE,Female,0.0,0,2,3,8,1,2.0,0.0,16
134,2021,4,LERE,Male,0.0,2,5,12,8,5,4.0,2.0,38
135,2021,4,LERE,Female,0.0,2,0,4,8,1,4.0,1.0,20
136,2021,1,MARKARFI,Male,1.0,0,5,11,6,4,4.0,5.0,36
137,2021,1,MARKARFI,Female,0.0,2,4,5,3,2,3.0,3.0,22
138,2021,2,MARKARFI,Male,1.0,0,7,9,7,3,3.0,6.0,36
139,2021,2,MARKARFI,Female,1.0,3,1,5,5,6,2.0,1.0,24
140,2021,3,MARKARFI,Male,2.0,1,4,11,7,7,4.0,10.0,46
141,2021,3,MARKARFI,Female,0.0,1,2,10,4,5,0.0,2.0,24
142,2021,4,MARKARFI,Male,2.0,1,3,8,5,5,6.0,14.0,44
143,2021,4,MARKARFI,Female,2.0,2,7,13,7,6,6.0,4.0,47
144,2021,1,SABON GARI,Male,0.0,1,8,12,4,7,3.0,1.0,36
145,2021,1,SABON GARI,Female,0.0,0,12,2,6,4,3.0,3.0,30
146,2021,2,SABON GARI,Male,1.0,0,13,8,12,5,5.0,2.0,46
147,2021,2,SABON GARI,Female,0.0,1,15,11,4,3,1.0,1.0,36
148,2021,3,SABON GARI,Male,2.0,2,22,21,13,2,1.0,4.0,67
149,2021,3,SABON GARI,Female,0.0,2,23,8,5,1,1.0,0.0,40
150,2021,4,SABON GARI,Male,0.0,0,21,22,16,12,8.0,5.0,84
151,2021,4,SABON GARI,Female,0.0,2,12,8,7,3,1.0,2.0,35
152,2021,1,SANGA,Male,0.0,2,0,7,2,2,3.0,3.0,19
153,2021,1,SANGA,Female,0.0,0,2,3,2,0,0.0,2.0,9
154,2021,2,SANGA,Male,0.0,2,1,3,5,3,2.0,2.0,18
155,2021,2,SANGA,Female,0.0,0,2,2,1,0,1.0,1.0,7
156,2021,3,SANGA,Male,0.0,0,1,2,1,5,1.0,1.0,11
157,2021,3,SANGA,Female,0.0,1,0,3,4,0,1.0,2.0,11
158,2021,4,SANGA,Male,0.0,0,2,1,4,4,0.0,1.0,12
159,2021,4,SANGA,Female,0.0,0,0,0,3,0,3.0,2.0,8
160,2021,1,SOBA,Male,0.0,0,1,3,3,3,3.0,2.0,15
161,2021,1,SOBA,Female,0.0,0,4,8,5,7,4.0,0.0,28
162,2021,2,SOBA,Male,0.0,1,8,4,2,6,3.0,1.0,25
163,2021,2,SOBA,Female,1.0,0,7,8,7,6,1.0,0.0,30
164,2021,3,SOBA,Male,0.0,1,0,7,6,5,3.0,0.0,22
165,2021,3,SOBA,Female,1.0,1,1,13,10,2,2.0,2.0,32
166,2021,4,SOBA,Male,1.0,1,1,7,9,4,1.0,2.0,26
167,2021,4,SOBA,Female,0.0,0,3,6,4,2,2.0,2.0,19
168,2021,1,ZANGON KATAF,Male,0.0,0,0,7,9,8,3.0,3.0,30
169,2021,1,ZANGON KATAF,Female,0.0,0,3,3,3,5,4.0,8.0,26
170,2021,2,ZANGON KATAF,Male,0.0,0,3,7,10,11,8.0,4.0,43
171,2021,2,ZANGON KATAF,Female,0.0,0,1,6,5,4,2.0,1.0,19
172,2021,3,ZANGON KATAF,Male,0.0,0,1,5,6,11,9.0,2.0,34
173,2021,3,ZANGON KATAF,Female,0.0,0,1,3,7,4,2.0,2.0,19
174,2021,4,ZANGON KATAF,Male,0.0,0,1,2,11,15,6.0,3.0,38
175,2021,4,ZANGON KATAF,Female,0.0,0,1,9,8,5,0.0,3.0,26
176,2021,1,ZARIA,Male,1.0,1,24,36,21,14,8.0,3.0,108
177,2021,1,ZARIA,Female,0.0,2,27,21,14,8,5.0,4.0,81
178,2021,2,ZARIA,Male,0.0,2,44,62,28,13,9.0,6.0,164
179,2021,2,ZARIA,Female,0.0,4,33,47,19,7,3.0,1.0,114
180,2021,3,ZARIA,Male,0.0,2,64,62,30,24,4.0,9.0,195
181,2021,3,ZARIA,Female,0.0,5,54,58,25,11,5.0,4.0,162
182,2021,4,ZARIA,Male,0.0,3,79,101,44,20,8.0,5.0,260
183,2021,4,ZARIA,Female,0.0,2,76,46,22,11,7.0,6.0,170
