Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total,Year_Quarter,,
2019,2,Kudan,Female,0,0,0,1,0,0,0,0,1,2019 Q2,,
2019,2,Lere,Male,0,1,1,8,2,2,0,3,17,2019 Q2,,
2019,2,Lere,Female,0,0,0,1,3,2,1,1,8,2019 Q2,,
2019,2,Markafi,Male,0,0,6,4,4,5,1,2,22,2019 Q2,,
2019,2,Markafi,Female,0,0,2,1,1,2,1,1,8,2019 Q2,,
2019,2,Sabon-Gari,Male,1,2,11,12,4,4,3,1,38,2019 Q2,,
2019,2,Sabon-Gari,Female,0,0,2,3,0,1,2,1,9,2019 Q2,,
2019,2,Sanga,Male,0,0,1,3,5,2,1,1,13,2019 Q2,,
2019,2,Sanga,Female,0,0,0,7,4,1,0,1,13,2019 Q2,,
2019,2,Soba,Male,0,0,0,1,3,1,0,0,5,2019 Q2,,
2019,2,Soba,Female,0,0,1,1,1,1,0,0,4,2019 Q2,,
2019,2,Zango-Kataf,Male,0,0,1,0,7,11,4,4,27,2019 Q2,,
2019,2,Zango-Kataf,Female,0,0,3,1,1,0,1,1,7,2019 Q2,,
2019,2,Zaria,Male,1,0,11,23,15,14,4,4,72,2019 Q2,,
2019,2,Zaria,Female,0,1,7,9,4,3,1,4,29,2019 Q2,,
2019,3,Birnin-Gwari,Male,0,0,1,2,2,0,2,6,13,2019 Q3,,
2019,3,Birnin-Gwari,Female,0,0,0,1,0,0,0,0,1,2019 Q3,,
2019,3,Chikun,Male,1,1,7,13,18,8,7,2,57,2019 Q3,,
2019,3,Chikun,Female,0,0,4,5,1,5,1,0,16,2019 Q3,,
2019,3,Giwa,Male,10,6,4,5,2,0,3,1,31,2019 Q3,,
2019,3,Giwa,Female,5,2,0,2,1,4,1,0,15,2019 Q3,,
2019,3,Igabi,Male,1,3,8,13,10,5,3,5,48,2019 Q3,,
2019,3,Igabi,Female,0,2,8,1,3,2,0,2,18,2019 Q3,,
2019,3,Ikara,Male,0,0,2,2,2,1,3,2,12,2019 Q3,,
2019,3,Ikara,Female,0,0,3,0,1,1,1,0,6,2019 Q3,,
2019,3,Jaba,Male,0,0,0,1,5,0,2,1,9,2019 Q3,,
2019,3,Jaba,Female,0,0,0,1,2,0,0,0,3,2019 Q3,,
2019,3,Jema'a,Male,0,0,1,9,6,10,5,6,37,2019 Q3,,
2019,3,Jema'a,Female,0,0,3,7,0,3,6,2,21,2019 Q3,,
2019,3,Kachia,Male,0,2,0,6,11,14,11,4,48,2019 Q3,,
2019,3,Kachia,Female,0,0,0,10,9,4,4,7,34,2019 Q3,,
2019,3,Kaduna North,Male,2,4,26,32,16,15,10,7,112,2019 Q3,,
2019,3,Kaduna North,Female,3,2,17,19,12,9,4,3,69,2019 Q3,,
2019,3,Kaduna South,Male,1,6,22,27,45,14,7,3,125,2019 Q3,,
2019,3,Kaduna South,Female,0,0,14,18,13,3,6,9,63,2019 Q3,,
2019,3,Kagarko,Male,0,1,4,0,1,0,1,0,7,2019 Q3,,
2019,3,Kagarko,Female,0,0,1,0,1,2,0,0,4,2019 Q3,,
2019,3,Kajuru,Male,0,0,2,2,4,1,1,2,12,2019 Q3,,
2019,3,Kajuru,Female,0,0,3,3,0,1,0,1,8,2019 Q3,,
2019,3,Kaura,Male,0,0,0,3,5,4,1,2,15,2019 Q3,,
2019,3,Kaura,Female,0,0,0,1,0,2,0,0,3,2019 Q3,,
2019,3,Kauru,Male,0,0,2,2,7,3,1,1,16,2019 Q3,,
2019,3,Kauru,Female,0,0,2,2,1,1,0,0,6,2019 Q3,,
2019,3,Kubau,Male,0,0,4,0,4,0,0,0,8,2019 Q3,,
2019,3,Kubau,Female,0,0,3,1,2,3,0,0,9,2019 Q3,,
2019,3,Kudan,Male,0,0,2,1,2,0,1,0,6,2019 Q3,,
2019,3,Kudan,Female,0,0,1,2,,1,2,0,6,2019 Q3,,
2019,3,Lere,Male,0,0,0,2,6,2,3,2,15,2019 Q3,,
2019,3,Lere,Female,0,1,1,6,0,1,0,0,9,2019 Q3,,
2019,3,Markafi,Male,1,1,2,7,2,0,2,6,21,2019 Q3,,
2019,3,Markafi,Female,0,0,3,2,2,2,3,1,13,2019 Q3,,
2019,3,Sabon-Gari,Male,2,2,10,9,10,2,1,0,36,2019 Q3,,
2019,3,Sabon-Gari,Female,0,1,3,7,4,2,5,3,25,2019 Q3,,
2019,3,Sanga,Male,0,0,2,7,9,8,2,1,29,2019 Q3,,
2019,3,Sanga,Female,0,0,0,4,4,0,1,2,11,2019 Q3,,
2019,3,Soba,Male,0,0,2,5,3,2,1,1,14,2019 Q3,,
2019,3,Soba,Female,0,0,2,0,0,0,0,1,3,2019 Q3,,
2019,3,Zango-Kataf,Male,0,0,2,6,4,7,3,1,23,2019 Q3,,
2019,3,Zango-Kataf,Female,0,0,2,1,0,0,1,0,4,2019 Q3,,
2019,3,Zaria,Male,0,0,16,18,17,10,1,6,68,2019 Q3,,
2019,3,Zaria,Female,1,2,10,14,12,5,4,2,50,2019 Q3,,
2019,4,Birnin-Gwari,Male,0,0,0,4,2,0,0,1,7,2019 Q4,,
2019,4,Birnin-Gwari,Female,0,0,0,1,1,0,1,0,3,2019 Q4,,
2019,4,Chikun,Male,0,2,6,10,14,8,4,5,49,2019 Q4,,
2019,4,Chikun,Female,0,1,2,8,11,1,3,0,26,2019 Q4,,
2019,4,Giwa,Male,5,8,1,4,0,0,0,1,19,2019 Q4,,
2019,4,Giwa,Female,6,13,1,3,2,1,1,0,27,2019 Q4,,
2019,4,Igabi,Male,0,3,12,11,12,5,4,4,51,2019 Q4,,
