Unnamed: 0,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total
122,2022,2,KUDAN,Male,1.0,1.0,2.0,5,0,7,4.0,1.0,21
123,2022,2,KUDAN,Female,1.0,1.0,2.0,4,6,3,0.0,1.0,18
124,2022,3,KUDAN,Male,3.0,0.0,4.0,6,8,4,4.0,1.0,30
125,2022,3,KUDAN,Female,4.0,0.0,5.0,3,7,5,2.0,0.0,26
126,2022,4,KUDAN,Male,0.0,2.0,5.0,9,7,5,6.0,2.0,36
127,2022,4,KUDAN,Female,6.0,1.0,5.0,9,1,1,0.0,1.0,24
128,2022,1,LERE,Male,0.0,1.0,2.0,8,8,9,3.0,3.0,34
129,2022,1,LERE,Female,0.0,0.0,4.0,3,5,3,1.0,1.0,17
130,2022,2,LERE,Male,0.0,0.0,2.0,9,10,5,3.0,1.0,30
131,2022,2,LERE,Female,0.0,1.0,4.0,4,2,2,2.0,0.0,15
132,2022,3,LERE,Male,1.0,3.0,6.0,4,1,7,1.0,5.0,28
133,2022,3,LERE,Female,0.0,1.0,1.0,7,3,2,1.0,0.0,15
134,2022,4,LERE,Male,1.0,1.0,2.0,14,8,7,4.0,1.0,38
135,2022,4,LERE,Female,0.0,2.0,8.0,6,8,1,1.0,0.0,26
136,2022,1,MAKARFI,Male,1.0,1.0,4.0,15,5,9,6.0,5.0,46
137,2022,1,MAKARFI,Female,1.0,3.0,2.0,9,5,4,2.0,3.0,29
138,2022,2,MAKARFI,Male,1.0,1.0,5.0,10,10,10,5.0,6.0,48
139,2022,2,MAKARFI,Female,1.0,4.0,2.0,7,10,3,4.0,4.0,35
140,2022,3,MAKARFI,Male,0.0,2.0,6.0,13,11,16,9.0,14.0,71
141,2022,3,MAKARFI,Female,6.0,5.0,6.0,21,12,5,11.0,4.0,70
142,2022,4,MAKARFI,Male,4.0,7.0,11.0,15,20,15,7.0,14.0,93
143,2022,4,MAKARFI,Female,2.0,4.0,8.0,14,10,10,5.0,6.0,59
144,2022,1,SABON GARI,Male,0.0,0.0,17.0,29,20,14,8.0,7.0,95
145,2022,1,SABON GARI,Female,2.0,0.0,16.0,25,17,5,1.0,2.0,68
146,2022,2,SABON GARI,Male,1.0,4.0,20.0,42,35,18,4.0,1.0,125
147,2022,2,SABON GARI,Female,0.0,1.0,17.0,25,23,7,5.0,1.0,79
148,2022,3,SABON GARI,Male,0.0,3.0,33.0,50,59,32,9.0,4.0,190
149,2022,3,SABON GARI,Female,0.0,2.0,39.0,54,34,16,6.0,1.0,152
150,2022,4,SABON GARI,Male,4.0,9.0,58.0,61,47,27,5.0,0.0,211
151,2022,4,SABON GARI,Female,1.0,13.0,36.0,48,25,9,4.0,1.0,137
152,2022,1,SANGA,Male,0.0,0.0,2.0,5,6,4,4.0,1.0,22
153,2022,1,SANGA,Female,0.0,3.0,1.0,4,2,1,0.0,1.0,12
154,2022,2,SANGA,Male,0.0,0.0,5.0,4,6,3,3.0,5.0,26
155,2022,2,SANGA,Female,0.0,0.0,2.0,4,2,1,1.0,0.0,10
156,2022,3,SANGA,Male,0.0,0.0,1.0,4,2,5,0.0,0.0,12
157,2022,3,SANGA,Female,0.0,0.0,1.0,2,2,3,0.0,4.0,12
158,2022,4,SANGA,Male,0.0,1.0,2.0,11,6,2,2.0,2.0,26
159,2022,4,SANGA,Female,0.0,1.0,1.0,4,6,2,1.0,1.0,16
160,2022,1,SOBA,Male,0.0,0.0,0.0,6,7,7,2.0,0.0,22
161,2022,1,SOBA,Female,1.0,1.0,1.0,4,7,7,3.0,2.0,26
162,2022,2,SOBA,Male,0.0,1.0,1.0,8,5,3,0.0,0.0,18
163,2022,2,SOBA,Female,0.0,0.0,0.0,9,12,3,4.0,2.0,30
164,2022,3,SOBA,Male,1.0,1.0,3.0,9,13,7,3.0,1.0,38
165,2022,3,SOBA,Female,0.0,0.0,8.0,9,12,5,0.0,1.0,35
166,2022,4,SOBA,Male,0.0,0.0,8.0,16,20,9,5.0,2.0,60
167,2022,4,SOBA,Female,0.0,0.0,12.0,22,14,8,1.0,1.0,58
168,2022,1,ZANGON KATAF,Male,0.0,0.0,1.0,14,13,18,5.0,3.0,54
169,2022,1,ZANGON KATAF,Female,0.0,0.0,0.0,4,8,11,1.0,1.0,25
170,2022,2,ZANGON KATAF,Male,0.0,0.0,1.0,9,13,15,4.0,10.0,52
171,2022,2,ZANGON KATAF,Female,0.0,0.0,0.0,8,7,9,2.0,1.0,27
172,2022,3,ZANGON KATAF,Male,0.0,0.0,3.0,11,27,29,8.0,4.0,82
173,2022,3,ZANGON KATAF,Female,0.0,0.0,1.0,9,14,15,6.0,3.0,48
174,2022,4,ZANGON KATAF,Male,0.0,0.0,4.0,15,32,36,12.0,3.0,102
175,2022,4,ZANGON KATAF,Female,0.0,0.0,6.0,11,14,15,4.0,1.0,51
176,2022,1,ZARIA,Male,10.0,5.0,47.0,57,56,46,25.0,15.0,261
177,2022,1,ZARIA,Female,3.0,15.0,54.0,55,53,29,8.0,4.0,221
178,2022,2,ZARIA,Male,5.0,6.0,57.0,114,69,52,45.0,26.0,374
179,2022,2,ZARIA,Female,3.0,2.0,38.0,82,40,34,33.0,22.0,254
180,2022,3,ZARIA,Male,21.0,23.0,38.0,108,111,54,34.0,30.0,419
181,2022,3,ZARIA,Female,32.0,13.0,45.0,88,69,37,23.0,8.0,315
182,2022,4,ZARIA,Male,32.0,54.0,123.0,111,95,40,13.0,6.0,474
183,2022,4,ZARIA,Female,23.0,47.0,104.0,94,47,22,15.0,10.0,362
