Year,Quarter,LGA,PTB Xpert Positive,PTB Smear Positive,PTB TB Lamp,PTB LF-LAM and other,PTB Clinically Diagnosed (X-ray and others),EPTB Xpert Positive,EPTB Clinically Diagnosed (X-ray and others),Total TB Cases notified,All TB cases who had Xpert test,PTB Truenat Positive,All TB cases who had Truenat test,Date,Year-Quarter
2019,1,Birnin Gwari,9,16,0,0,0,0,0,25,9,0,0,2019-03-31,2019 Q1
2019,2,Birnin Gwari,15,0,0,0,4,0,0,19,19,0,0,2019-06-30,2019 Q2
2019,3,Birnin Gwari,10,4,0,0,0,0,0,14,10,0,0,2019-09-30,2019 Q3
2019,4,Birnin Gwari,7,3,0,0,0,0,0,10,7,0,0,2019-12-31,2019 Q4
2019,1,Chikun,30,29,0,0,11,2,3,75,32,0,0,2019-03-31,2019 Q1
2019,2,Chikun,30,29,0,0,11,2,3,75,32,0,0,2019-06-30,2019 Q2
2019,3,Chikun,23,31,0,0,16,0,3,73,23,0,0,2019-09-30,2019 Q3
2019,4,Chikun,21,39,0,0,13,0,2,75,21,0,0,2019-12-31,2019 Q4
2019,1,Giwa,10,1,0,0,22,0,5,38,10,0,0,2019-03-31,2019 Q1
2019,2,Giwa,9,3,0,0,38,1,0,51,10,0,0,2019-06-30,2019 Q2
2019,3,Giwa,4,1,0,0,36,0,5,46,4,0,0,2019-09-30,2019 Q3
2019,4,Giwa,10,2,0,0,27,0,7,46,10,0,0,2019-12-31,2019 Q4
2019,1,Igabi,35,11,0,0,20,0,4,70,70,0,0,2019-03-31,2019 Q1
2019,2,Igabi,24,8,0,0,7,0,1,40,32,0,0,2019-06-30,2019 Q2
2019,3,Igabi,37,18,0,0,10,0,1,66,38,0,0,2019-09-30,2019 Q3
2019,4,Igabi,53,10,0,0,12,0,1,76,56,0,0,2019-12-31,2019 Q4
2019,1,Ikara,12,0,0,0,1,0,0,13,12,0,0,2019-03-31,2019 Q1
2019,2,Ikara,16,1,0,0,3,0,0,20,16,0,0,2019-06-30,2019 Q2
2019,3,Ikara,16,1,0,0,1,0,0,18,16,0,0,2019-09-30,2019 Q3
2019,4,Ikara,20,0,0,0,0,0,2,22,20,0,0,2019-12-31,2019 Q4
2019,1,Jaba,15,0,0,0,5,0,0,20,15,0,0,2019-03-31,2019 Q1
2019,2,Jaba,10,0,0,0,12,0,0,22,10,0,0,2019-06-30,2019 Q2
2019,3,Jaba,6,1,0,0,5,0,0,12,6,0,0,2019-09-30,2019 Q3
2019,4,Jaba,12,2,0,0,1,0,0,15,12,0,0,2019-12-31,2019 Q4
2019,1,Jema'A,32,9,0,0,10,0,0,51,32,0,0,2019-03-31,2019 Q1
2019,2,Jema'A,22,8,0,0,7,0,1,38,22,0,0,2019-06-30,2019 Q2
2019,3,Jema'A,22,19,0,0,16,0,1,58,22,0,0,2019-09-30,2019 Q3
2019,4,Jema'A,17,22,0,0,4,0,0,43,20,0,0,2019-12-31,2019 Q4
2019,1,Kachia,42,1,0,0,0,0,0,43,42,0,0,2019-03-31,2019 Q1
2019,2,Kachia,42,1,0,0,1,0,0,44,42,0,0,2019-06-30,2019 Q2
2019,3,Kachia,24,58,0,0,0,0,0,82,24,0,0,2019-09-30,2019 Q3
2019,4,Kachia,45,33,0,0,1,0,0,79,45,0,0,2019-12-31,2019 Q4
2019,1,Kaduna North,80,8,0,0,56,0,9,153,80,0,0,2019-03-31,2019 Q1
2019,2,Kaduna North,98,2,0,0,52,2,25,179,100,0,0,2019-06-30,2019 Q2
2019,3,Kaduna North,101,4,0,0,52,2,22,181,143,0,0,2019-09-30,2019 Q3
2019,4,Kaduna North,122,4,0,0,39,0,11,176,166,0,0,2019-12-31,2019 Q4
2019,1,Kaduna South,95,9,0,0,48,0,6,158,95,0,0,2019-03-31,2019 Q1
2019,2,Kaduna South,117,13,0,0,59,0,10,199,117,0,0,2019-06-30,2019 Q2
2019,3,Kaduna South,109,15,0,0,57,0,7,188,110,0,0,2019-09-30,2019 Q3
2019,4,Kaduna South,102,9,0,0,64,0,9,184,102,0,0,2019-12-31,2019 Q4
2019,1,Kagarko,17,0,0,0,1,0,0,18,17,0,0,2019-03-31,2019 Q1
